SEGMENTID,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
55867,116 STREET,BESSEMER STREET,MYRTLE AVENUE,Q,2018-05-07 09:36:02,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
105588,DUNCAN ROAD,ADA PLACE,BEND,S,2018-06-07 00:00:00,2018-07-07 23:58:59,REPAIR GAS
34505,WEST   72 STREET,BROADWAY,WEST END AVENUE,M,2018-05-21 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE PAVING
117586,KNOLLWOOD AVENUE,EAST DRIVE,MARINETTE STREET,Q,2018-10-26 14:53:19,2018-11-29 23:59:59,DOT IN-HOUSE MILLING
39931,VOORHIES AVENUE,BRAGG STREET,KNAPP STREET,B,2018-07-30 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE MILLING
39932,VOORHIES AVENUE,BRAGG STREET,KNAPP STREET,B,2018-07-30 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE MILLING
117586,KNOLLWOOD AVENUE,EAST DRIVE,MARINETTE STREET,Q,2018-10-26 14:53:20,2018-11-29 23:59:59,DOT IN-HOUSE PAVING
34523,WEST   77 STREET,RIVERSIDE DRIVE,WEST END AVENUE,M,2018-05-23 11:41:48,2018-08-05 23:58:59,CONTRACT ROADWAY MILLING
81778,FITCHETT STREET,65 DRIVE,65 ROAD,Q,2018-06-12 08:37:59,2018-07-13 23:59:59,DOT IN-HOUSE MILLING
113138,JOHNSON AVENUE,BEND,WEST  230 STREET,X,2018-06-11 00:00:00,2018-09-09 23:58:59,CONTRACT ROADWAY MILLING
113139,JOHNSON AVENUE,BEND,WEST  230 STREET,X,2018-06-11 00:00:00,2018-09-09 23:58:59,CONTRACT ROADWAY MILLING
113163,JOHNSON AVENUE,CAMBRIDGE AVENUE,WEST  231 STREET,X,2018-06-11 00:00:00,2018-09-09 23:58:59,CONTRACT ROADWAY MILLING
113164,JOHNSON AVENUE,CAMBRIDGE AVENUE,WEST  231 STREET,X,2018-06-11 00:00:00,2018-09-09 23:58:59,CONTRACT ROADWAY MILLING
3459,LAREDO AVENUE,ANNADALE ROAD,POMPEY AVENUE,S,2018-05-10 08:16:18,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
160780,NARROWS ROAD NORTH,BEND,HYLAN BOULEVARD,S,2018-08-22 12:53:31,2018-09-28 23:59:59,DOT IN-HOUSE PAVING
114114,DUNCAN ROAD,ADA PLACE,BEND,S,2018-06-07 00:00:00,2018-07-07 23:58:59,REPAIR GAS
81346,WAYNE AVENUE,EAST  211 STREET,EAST GUN HILL ROAD,X,2018-07-21 00:00:00,2018-07-23 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
81346,WAYNE AVENUE,EAST  211 STREET,EAST GUN HILL ROAD,X,2018-07-21 00:00:00,2018-07-23 23:58:59,PLACE CRANE OR SHOVEL ON STREET
40027,VOORHIES AVENUE,BEND,KNAPP STREET,B,2018-07-30 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE MILLING
117587,KENMORE ROAD,EAST DRIVE,MARINETTE STREET,Q,2018-10-26 14:49:20,2018-11-29 23:59:59,DOT IN-HOUSE MILLING
117587,KENMORE ROAD,EAST DRIVE,MARINETTE STREET,Q,2018-10-26 14:49:21,2018-11-29 23:59:59,DOT IN-HOUSE PAVING
100623,92 AVENUE,218 PLACE,219 STREET,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
10156,WYGANT PLACE,ISLIN PLACE,JEWETT AVENUE,S,2018-05-11 00:00:00,2018-06-10 23:58:59,FINAL RESTORATION ONLY
81790,CARLTON STREET,BOELSEN CRESCENT,CROMWELL CRESCENT,Q,2018-06-12 08:41:44,2018-07-13 23:59:59,DOT IN-HOUSE MILLING
102496,86 AVENUE,241 STREET,CROSS ISLAND PARKWAY,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE MILLING
102561,246 STREET,80 ROAD,81 AVENUE,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE MILLING
102564,246 STREET,81 AVENUE,82 AVENUE,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE MILLING
103087,SHILOH AVENUE,249 STREET,250 STREET,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE PAVING
103093,SHILOH AVENUE,251 STREET,252 STREET,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE MILLING
103094,250 STREET,ELKMONT AVENUE,SHILOH AVENUE,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE MILLING
103094,250 STREET,ELKMONT AVENUE,SHILOH AVENUE,Q,2018-05-01 00:00:00,2018-06-01 23:59:59,DOT IN-HOUSE PAVING
113188,JOHNSON AVENUE,CAMBRIDGE AVENUE,WEST  235 STREET,X,2018-06-11 00:00:00,2018-09-09 23:58:59,CONTRACT ROADWAY MILLING
113706,POST ROAD,FIELDSTONE TERRACE,WEST  252 STREET,X,2018-06-11 00:00:00,2018-09-09 23:58:59,CONTRACT ROADWAY MILLING
113707,POST ROAD,FIELDSTONE TERRACE,WEST  252 STREET,X,2018-06-11 00:00:00,2018-09-09 23:58:59,CONTRACT ROADWAY MILLING
18309,WEST   35 STREET,BOARDWALK,SURF AVENUE,B,2018-09-20 00:00:00,2018-11-04 23:58:59,PLACE CRANE OR SHOVEL ON STREET
18309,WEST   35 STREET,BOARDWALK,SURF AVENUE,B,2018-09-20 00:00:00,2018-11-04 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
88485,ONEIL PLACE,ARNOW AVENUE,EAST GUN HILL ROAD,X,2018-09-24 00:00:00,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING
16956,78 STREET,3 AVENUE,RIDGE BOULEVARD,B,2018-09-13 00:00:00,2018-09-21 23:59:59,DOT IN-HOUSE PAVING
169723,EAST   20 ROAD,WEST   20 ROAD,DEMEREST ROAD,Q,2018-09-19 00:00:00,2018-09-22 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
169724,EAST   20 ROAD,WEST   20 ROAD,DEMEREST ROAD,Q,2018-09-19 00:00:00,2018-09-22 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
17183,78 STREET,4 AVENUE,5 AVENUE,B,2018-09-13 00:00:00,2018-09-21 23:59:59,DOT IN-HOUSE PAVING
86587,GLOVER STREET,CASTLE HILL AVENUE,STEARNS STREET,X,2018-04-24 06:56:39,2018-07-22 23:59:59,DOT IN-HOUSE PAVING
86589,GLOVER STREET,ST RAYMOND AVENUE,STEARNS STREET,X,2018-04-24 06:56:38,2018-07-22 23:59:59,DOT IN-HOUSE PAVING
69820,WALTON AVENUE,EAST  150 STREET,EAST  151 STREET,X,2018-06-11 00:00:00,2018-06-16 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
69820,WALTON AVENUE,EAST  150 STREET,EAST  151 STREET,X,2018-06-11 00:00:00,2018-06-16 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
