,SEGMENTID,ONSTREETNAME,WORK_START_DATE,WORK_END_DATE,BOROUGH_CODE
13084,290901,lafayette avenue,2018-04-24 00:00:00,2018-05-24 23:59:59,S
13085,24372,henry street,2018-04-13 00:00:00,2018-04-17 23:58:59,M
13086,24372,henry street,2018-04-13 00:00:00,2018-04-17 23:58:59,M
13087,160551,seaview avenue,2018-07-27 00:00:00,2018-07-30 23:58:59,S
13088,166020,east 78 street,2018-06-30 00:00:00,2018-07-09 23:58:59,M
13089,14589,sand lane,2018-07-12 09:21:07,2018-08-31 23:59:59,S
13090,14589,sand lane,2018-07-12 09:21:07,2018-08-31 23:59:59,S
13091,14601,sand lane,2018-07-12 09:21:01,2018-08-31 23:59:59,S
13092,14601,sand lane,2018-07-12 09:21:03,2018-08-31 23:59:59,S
13093,14644,sand lane,2018-07-12 09:21:14,2018-08-31 23:59:59,S
13094,14644,sand lane,2018-07-12 09:21:15,2018-08-31 23:59:59,S
13095,14654,sand lane,2018-07-12 09:21:16,2018-08-31 23:59:59,S
13096,14455,mc laughlin street,2018-07-23 00:00:00,2018-07-26 23:58:59,S
13097,184190,beach channel drive,2018-09-17 00:00:00,2018-11-19 23:59:59,Q
13098,164636,west 33 street,2018-10-25 14:00:13,2018-11-11 23:58:59,M
13099,164530,west 17 street,2018-10-26 00:00:00,2018-10-30 23:58:59,M
13100,164636,west 33 street,2018-10-25 14:00:14,2018-11-11 23:58:59,M
13101,164636,west 33 street,2018-10-25 14:00:14,2018-11-11 23:58:59,M
13102,164637,west 33 street,2018-10-25 14:00:13,2018-11-11 23:58:59,M
13103,24470,duffield street,2018-12-12 15:58:29,2019-01-01 23:58:59,B
13104,15411,virginia avenue,2018-06-26 12:04:09,2018-09-24 23:58:59,S
13105,15425,virginia avenue,2018-06-26 12:04:07,2018-09-24 23:58:59,S
13106,15348,stone street,2018-07-24 00:00:00,2018-10-22 23:58:59,S
13107,14824,lily pond avenue,2018-06-28 09:23:22,2018-08-31 23:59:59,S
13108,14826,lily pond avenue,2018-06-28 09:23:22,2018-08-31 23:59:59,S
13109,14826,lily pond avenue,2018-06-28 09:23:23,2018-08-31 23:59:59,S
13110,14848,lily pond avenue,2018-06-28 09:23:16,2018-08-31 23:59:59,S
13111,18279,west 36 street,2018-08-09 10:39:56,2018-09-20 23:58:59,B
13112,15415,virginia avenue,2018-07-19 08:18:00,2018-08-31 23:59:59,S
13113,160644,sand lane,2018-07-12 09:21:09,2018-08-31 23:59:59,S
13114,160645,sand lane,2018-07-12 09:21:08,2018-08-31 23:59:59,S
13115,128598,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13116,128598,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13117,31593,washington street,2018-05-19 00:00:00,2018-06-05 23:58:59,M
13118,182306,cross island parkway,2018-06-28 00:00:00,2018-07-04 23:58:59,Q
13119,31762,worth street,2018-03-14 00:00:00,2018-06-01 23:58:59,M
13120,31782,worth street,2018-03-14 00:00:00,2018-06-01 23:58:59,M
13121,182306,cross island parkway,2018-06-28 00:00:00,2018-07-04 23:58:59,Q
13122,32592,washington square east,2018-05-17 12:41:25,2018-06-25 23:58:59,M
13123,32593,washington square east,2018-05-17 12:41:26,2018-06-25 23:58:59,M
13124,182307,cross island parkway,2018-06-28 00:00:00,2018-07-04 23:58:59,Q
13125,182307,cross island parkway,2018-06-28 00:00:00,2018-07-04 23:58:59,Q
13126,29343,lefferts place,2018-06-25 00:00:00,2018-06-29 23:59:59,B
13127,3157,poillon avenue,2018-04-19 00:00:00,2018-05-28 23:59:59,S
13128,3157,poillon avenue,2018-04-19 00:00:00,2018-05-28 23:59:59,S
13129,42982,eastern parkway,2018-05-01 00:00:00,2018-05-07 23:59:59,B
13130,29352,lefferts place,2018-06-25 00:00:00,2018-06-29 23:59:59,B
13131,182308,cross island parkway,2018-06-28 00:00:00,2018-07-04 23:58:59,Q
13132,29365,st james place,2018-06-20 00:00:00,2018-06-25 23:59:59,B
13133,77198,east 147 street,2018-03-28 00:00:00,2018-04-29 23:58:59,X
13134,77198,east 147 street,2018-03-28 00:00:00,2018-04-29 23:58:59,X
13135,29367,st james place,2018-06-20 00:00:00,2018-06-25 23:59:59,B
13136,33826,west 39 street,2018-06-09 00:00:00,2018-06-18 23:58:59,M
13137,31820,lispenard street,2018-03-14 10:06:26,2018-06-04 23:58:59,M
13138,31821,white street,2018-03-14 10:06:31,2018-06-04 23:58:59,M
13139,165358,east 48 street,2018-10-29 00:00:00,2018-11-10 23:58:59,M
13140,33655,west 30 street,2018-05-29 00:00:00,2018-06-08 23:59:59,M
13141,128598,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13142,128598,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13143,182308,cross island parkway,2018-06-28 00:00:00,2018-07-04 23:58:59,Q
